Plant Code,Plant Name,Utility Name,Age of Oldest Unit at Plant in Years,Prime Mover for Generator 1,Energy Source 1 for Generator 1,Nameplate capacity in MW,2018 Net Generation in MWh,2018 Electric Fuel Consumption in MMBtu,Implied 2018 Electrical Efficiency,Latitude,Longitude,State,Zip,County,NERC Region,Balancing Authority Code
50352,Nacimiento Hydro Project,Monterey Cnty Water Res Agency,32,HY,WAT,4.4,8107,73871,37%,35.798576,-120.883331,CA,93426,San Luis Obispo,WECC,CISO
50353,Penacook Lower Falls,Briar-Hydro Associates,36,HY,WAT,4.6,17911,163204,37%,43.285761,-71.594962,NH,3303,Merrimack,NPCC,ISNE
50354,Newport Hydro,Eagle Creek RE LLC,32,HY,WAT,1.7,5890,53669,37%,43.1853,-75.0169,NY,13416,Herkimer,NPCC,NYIS
50359,Sloss Industries Corp,"ERP Compliant Coke, LLC",61,ST,OG,25,0,18787,0%,33.568164,-86.79873,AL,35207,Jefferson,SERC,SOCO
50360,Michell Butte Power Project,Owyhee Irrigation District,30,HY,WAT,1.8,0,0,0%,43.771896,-117.155023,OR,97913,Malheur,WECC,IPCO
50361,Owyhee Dam Power Project,Owyhee Irrigation District,34,HY,WAT,4.3,0,0,0%,43.641603,-117.24374,OR,97913,Malheur,WECC,IPCO
50362,Tunnel 1 Power Project,Owyhee Irrigation District,26,HY,WAT,7,16369,149154,37%,43.642023,-117.232674,OR,97913,Malheur,WECC,IPCO
50363,Mesquite Lake Energy Park Plant 2,Mesquite Lake Energy Park,32,ST,WDS,21,0,0,0%,32.903826,-115.511949,CA,92251,Imperial,WECC,IID
50365,Ridgewood Providence Power,Rhode Island LFG Genco,14,IC,LFG,6.4,0,0,0%,41.8069,-71.53,RI,2919,Providence,NPCC,ISNE
50366,University of Notre Dame,University of Notre Dame,57,ST,NG,28.8,79840,443183,61%,41.7094,-86.2367,IN,46556,St Joseph,RFC,PJM
50368,Cornell University Central Heat,Cornell University,10,CT,NG,39.5,261867,1212434,74%,42.4428,-76.4764,NY,14853,Tompkins,NPCC,NYIS
50371,"The Mosaic Company, Plant City Facility","The Mosaic Company, Plant City Facility",31,ST,WH,40.5,0,0,0%,28.1663,-82.1388,FL,33565,Hillsborough,FRCC,TEC
50373,Paxton Creek Cogeneration,NRG Energy Center Paxton LLC,33,IC,NG,12.6,1263,11242,38%,40.2653,-76.8771,PA,17105,Dauphin,RFC,PJM
50375,East Portal Generator,Calleguas Mun Water District,32,HY,WAT,1.2,5559,50653,37%,34.2619,-118.6242,CA,91311,Los Angeles,WECC,CISO
50380,Upriver Dam Hydro Plant,City of Spokane,83,HY,WAT,17.6,51559,469805,37%,47.6822,-117.3319,WA,99212,Spokane,WECC,AVA
50382,Twin Reservoirs,Walla Walla City of,31,HY,WAT,2.2,11466,104478,37%,46.088333,-118.254722,WA,99362,Walla Walla,WECC,BPAT
50384,Gregg Falls,Eagle Creek RE LLC,34,HY,WAT,3.5,13227,120525,37%,43.0168,-71.5679,NH,3045,Hillsborough,NPCC,ISNE
50385,Newark Bay Cogeneration Partnership LP,Newark Bay Cogeneration Partnership LP,26,CT,NG,139,31743,301188,36%,40.7197,-74.13,NJ,7105,Essex,RFC,PJM
